observation-1,observation-2,observation-3,observation-4,observation-5
3900875.335,1.5,0.005,0.005,1156162.625
6552980.326,1.5,0.005,0.005,3808267.616
3864557.372,1.5,0.005,0.005,1119844.662
3402093.48,1.5,0.005,0.005,657380.77
7201733.445,1.5,0.005,0.005,4457020.735
7043129.542,1.5,0.005,0.005,4298416.832
3518075.92,1.5,0.005,0.005,773363.21
10391275.143,1.5,0.005,0.005,7646562.433
7013748.86,1.5,0.005,0.005,4269036.15
4149932.862,1.5,0.005,0.005,1405220.152
17050899.811,1.5,0.005,0.005,14306187.101
3619840.188,1.5,0.005,0.005,875127.478
4241663.94,1.5,0.005,0.005,1496951.23
6686415.238,1.5,0.005,0.005,3941702.528
6366706.98,1.5,0.005,0.005,3621994.27
12297787.595,1.5,0.005,0.005,9553074.885
83155372.096,1.5,0.005,0.005,80410659.386
38666762.62,1.5,0.005,0.005,35922049.91
7670776.98,1.5,0.005,0.005,4926064.27
5434724.655,1.5,0.005,0.005,2690011.945
